column1,column2,correlation
0,1,0.0787439
0,3,0.0868582
0,4,0.0868582
0,5,0.152021
0,6,0.072483
0,7,0.139982
0,8,0.0571431
0,9,0.0672726
0,10,0.107937
0,11,0.0554962
0,12,0.0755864
0,13,0.061272
0,14,0.155068
1,3,0.0269521
1,4,0.0269521
1,5,0.0178141
1,6,0.208778
1,7,0.0217625
1,8,0.0113997
1,9,0.0423022
1,10,0.0377547
1,11,0.0253785
1,12,0.0986787
1,13,0.0345975
1,14,0.036265
3,4,1
3,5,0.0195836
3,6,0.0566564
3,7,0.033791
3,8,0.0158218
3,9,0.0289894
3,10,0.0394134
3,11,0.0209196
3,12,0.0648264
3,13,0.0765226
3,14,0.143995
4,5,0.0195836
4,6,0.0566564
4,7,0.033791
4,8,0.0158218
4,9,0.0289894
4,10,0.0394134
4,11,0.0209196
4,12,0.0648264
4,13,0.0765226
4,14,0.143995
5,6,0.0320269
5,7,0.240582
5,8,0.0126993
5,9,0.254205
5,10,0.0517543
5,11,0.0514633
5,12,0.0735524
5,13,0.0282627
5,14,0.202743
6,7,0.0491873
6,8,0.0146654
6,9,0.214457
6,10,0.0341078
6,11,0.0223721
6,12,0.0829564
6,13,0.0253211
6,14,0.0986259
7,8,0.0229737
7,9,0.429559
7,10,0.0396347
7,11,0.0260296
7,12,0.0743428
7,13,0.0361558
7,14,0.216395
8,9,0.0244018
8,10,0.0337596
8,11,0.01512
8,12,0.0628432
8,13,0.145499
8,14,0.0203088
9,10,0.037447
9,11,0.0260953
9,12,0.154087
9,13,0.0271605
9,14,0.0491652
10,11,0.00013961
10,12,0.0411276
10,13,0.0548433
10,14,0.174799
11,12,0.0208959
11,13,0.0330772
11,14,0.0754055
12,13,0.060398
12,14,0.123987
13,14,0.0340647
