column1,column2,correlation
product_name,eval_set,0.578048
product_name,order_number,0.582138
product_name,order_dow,0.593386
product_name,order_hour_of_day,0.567568
product_name,days_since_prior_order,0.601046
product_name,add_to_cart_order,0.675507
product_name,reordered,0.660853
product_name,aisle,1
product_name,department,1
eval_set,order_number,0.0290512
eval_set,order_dow,0.00169455
eval_set,order_hour_of_day,0.0078737
eval_set,days_since_prior_order,0.0335304
eval_set,add_to_cart_order,0.00986183
eval_set,reordered,7.91442e-05
eval_set,aisle,0.0361465
eval_set,department,0.00505172
order_number,order_dow,0.0224934
order_number,order_hour_of_day,0.0263596
order_number,days_since_prior_order,0.0550091
order_number,add_to_cart_order,0.02319
order_number,reordered,0.204871
order_number,aisle,0.0322731
order_number,department,0.0219407
order_dow,order_hour_of_day,0.00710402
order_dow,days_since_prior_order,0.0140248
order_dow,add_to_cart_order,0.0127555
order_dow,reordered,0.00157858
order_dow,aisle,0.0311605
order_dow,department,0.00613388
order_hour_of_day,days_since_prior_order,0.00794618
order_hour_of_day,add_to_cart_order,0.0113817
order_hour_of_day,reordered,0.00984789
order_hour_of_day,aisle,0.0320416
order_hour_of_day,department,0.00584062
days_since_prior_order,add_to_cart_order,0.0125392
days_since_prior_order,reordered,0.113752
days_since_prior_order,aisle,0.0312439
days_since_prior_order,department,0.00764228
add_to_cart_order,reordered,0.0340772
add_to_cart_order,aisle,0.0289959
add_to_cart_order,department,0.0136304
reordered,aisle,0.0945955
reordered,department,0.0442151
aisle,department,1
